,name,address,g_rating,lat,long
0,Adrienne's Pizzabar,"54 Stone St, New York, NY 10004, USA",4.4,40.7042941,-73.8884726
1,Alligator Lounge,"600 Metropolitan Ave, Brooklyn, NY 11211, USA",4.3,40.7139843,-73.8884726
2,Cafe Amore's Restaurant,"147 Chambers St, New York, NY 10007, USA",3.3,40.7159783,-73.8884726
3,Antika,"36-08 30th Ave, Astoria, NY 11103, USA",4.3,40.76474299999999,-73.8884726
4,Antonio's,"318 Flatbush Ave, Brooklyn, NY 11238",4.4,40.677179,-73.972457
5,Arcade Bakery,"220 Church St, New York, NY 10013, USA",4.8,40.7169103,-73.8884726
6,Archie's Bar & Pizza,"128 Central Ave, Brooklyn, NY 11221, USA",4.6,40.6997484,-73.8884726
7,Armando's Pizza,"1717 Broadway, Brooklyn, NY 11207, USA",4.2,40.6835805,-73.8884726
8,Artichoke Basille's Pizza,"114 10th Ave, New York, NY 10011, USA",4.2,40.7440813,-73.8884726
9,Astoria Pizza,"32-04 30th Ave, Long Island City, NY 11102, USA",4.1,40.76635199999999,-73.8884726
10,B Squared,"679 9th Ave, New York, NY 10036, USA",4.4,40.761553,-73.8884726
11,Babbalucci,"331 Lenox Ave, New York, NY 10027, USA",4.5,40.80891729999999,-73.8884726
12,Bad Boys Pizza,"2313 86th St, Brooklyn, NY 11214, USA",4.4,40.60052,-73.8884726
13,Barboncino Pizza,"781 Franklin Ave, Brooklyn, NY 11238, USA",4.6,40.6720698,-73.8884726
14,Bari's Pizza Pasta,"596 Bay St, Staten Island, NY 10304, USA",4.3,40.6272621,-73.8884726
15,Beebe's,"38-28 27th St, Long Island City, NY 11101, USA",4.3,40.7547897,-73.8884726
16,Belmora,"139 E 57th St, New York, NY 10022, USA",3.6,40.76081789999999,-73.8884726
17,Bergen Pizza,"67 6th Ave, Brooklyn, NY 11217, USA",4.4,40.6805905,-73.8884726
18,Best Italian Pizza,"412 E 149th St, The Bronx, NY 10455, USA",4.2,40.8157044,-73.8884726
19,Best Pizza,"33 Havemeyer St, Brooklyn, NY 11211, USA",4.4,40.7156564,-73.8884726
20,Bocce Union Square,"20 Union Square W, New York, NY 10003, USA",4.0,40.7364501,-73.8884726
21,Bono Trattoria,"3658 Broadway, New York, NY 10031, USA",4.6,40.830224,-73.8884726
22,Bravo Pizza,"6 E 42nd St, New York, NY 10017, USA",3.9,40.7531193,-73.8884726
23,Broadway Pizza & Pasta,"192, 5618, W 231st St, The Bronx, NY 10463",3.9,40.878822,-73.904523
24,Brooklyn Pizza Crew,"758 Nostrand Ave, Brooklyn, NY 11216, USA",4.3,40.6728002,-73.8884726
25,Brooklyn Pizza Market,"267 A Smith St, Brooklyn, NY 11231, USA",4.0,40.6826629,-73.8884726
