,user_name,user_elite,stars,review,user_date,user_friends,user_reviews,user_photos,user_url
0,Angeline C.,1.0,5,"Absolutely delicious and so well worth the wait.  The pizza here is really good.  Definitely lives up to the hype.  I usually come during off peak time and never had a wait so I suggest doing the same.I will keep my review short.  If you love pizza, just come here.  If don't like pizza and don't know how to appreciate good food, don't come here and waste line space.",7/9/2019,67,640,346,AA08rmnSkJobHaBQbAu8Qw
1,Pepper P.,0.0,2,(NOTE: Take a moment to look at how many burnt pizza photos there are in the recent food feed. If you go here or receive a burnt pie from delivery make sure you complain.)I went to Di Farra for the first time about four years ago and my husband and I had an amazing pie. It was made by the owner Dom DeMarco and the pie was cooked perfectly and the ingredients were fresh and well balanced. Now I live in the neighborhood and I've gone there on multiple occasions and ordered delivery and every pie I've had is completely burnt and barely edible. The other day when I went the place was completely packed. The man running the counter had a notebook with names but he was also cooking the pizza and it was a total disorganized mess. I stood there for about 15 minutes while two pies sat on the counter at which point he started going back through the notebook and handing out slices to people in the list. I don't understand why he would hand out all the slices as soon as the pizza cans out of the oven. I'm disappointed that I paid $6 for a completely blackened piece of pizza. Despite the fact that I live down the block I'm never going back.,7/14/2019,32,88,37,lLiDXEWgo-cIJZja_nxwyw
2,Sophy G.,0.0,3,"Guys I'm so sorry I don't agree with the majority. Being from Brooklyn and raised between Bensonhurst and Dyker Heights I've had my share of ooey gooey, cheese stretching, oil dripping pizza but this my friends was overhyped. I walked in on a Friday afternoon and after standing there for 20 mins was told I needed to move to the right and put my name on a book. They write down the type of pizza, how many slices and your name onto a spiral notebook. Right before you get your pizza they drizzle oil on it. I'm not why this is needed. They also cut some basil onto it. Now I'm a basil lover therefore I appreciate that touch. The pizza in itself didn't have any thing to rave about. I'm gluten intolerant so I'm pretty upset that I risked having rashes all over my body for this",7/6/2019,21,52,100,k0yI5eNRNcnpE-1baq7XfA
3,Nicole M.,1.0,3,"Google said this place opens at 1pm on sundays, but they were already taking orders at 12:30 when we arrived. We got our first regular slice around 1, and our square slices at 1:30 - with no line really.. waiting for that first slice wasn't bad but I was ready to lose it waiting for the 2nd Lol. I preferred the square slice much more / could understand the hype for that.  Both had crust/bread that were perfectly crisp. We were really confused why they didn't have a ton of regular and square pies thrown in the oven- it seemed like they made one pie at a time when we were there. Also, you pay after you get all slices which was a nice honor system; however, since we got our 1st and 2nd slices a halfhour apart, I'm sure people get annoyed waiting and walk away without paying for their first if they order multiple slices. Don't expect ambiance, super casual few tables and more of a eat on the street corner kinda place, but highly recommend getting there around opening time and getting that square slice!!",6/23/2019,150,281,994,NZRWlKoopUUmv2AtA_6kJQ
4,Stephanie L.,1.0,4,"My boyfriend and I came by on a Saturday around noon, and surprisingly there was no line! We went inside to order a square pie and round slice and was told it would take about 20 minutes to make the pie. Not too bad of a wait for a fresh pie! Square pie ($34) - Came with 8 slices of deliciousness, sprinkled with pieces of fresh basil. The pizza sauce was definitely fresh... tasted like fresh tomatoes. To me, the sauce was a little more on the tangy side than sweet. I would have liked the cheese to be a little bit more evenly distributed across the pie. There was some parts of the pie with just sauce and no cheese. Round slice ($5) - Same fresh basil, sauce and cheese as the square pie, but with a thinner crispy crust. The cheese was more evenly distributed on my round slice than the pie, which I appreciated! Overall, Di Fara was pretty good. Not my favorite pizza place in NYC (Lucali's still has my heart...) but I believe it's a must try for any pizza lover.",5/31/2019,129,30,45,mJK7bxi2RIkOgRcGTt6QJg
5,Diana P.,1.0,5,"It's delicious ! I swear it's the sauce. I went mid day on a Thursday to avoid the rush and still waited about 20-25 mins for a slice of margarita and cheese pizza. If you feel like you stepped back into the 70s or 80s come here. I personally didn't see the older gentleman there but nonetheless the pizza was good. It was crispy, made with love... you see them rolling the dough, poking it and pouring virgin olive oil right before they cut and serve it. The cleanliness could be MUCH BETTER and a little updating would not hurt. Places like this some ppl want it untouched but they seriously should shut down for a few weeks and bring it into 21st century. Should not affect the quality of the pizza right?!? Right. Back to the pizza...If it's a group order a pie, it looks like it's well worth it. I would definitely come back. Just not going back during rush hour$5 a slice i believe$30 for an entire pie",5/10/2019,207,48,24,s-7p2dvNOAVs-foSLag82Q
6,Morlene C.,0.0,5,"Di Fara Pizza has gone through a paradigm shift in the last couple of years. For the longest time--for over half a century in fact-- Dom Demarco insisted on making every individual pie himself. For so long he wouldn't even let his three adult children who work in the pizzeria and grew up helping him at the shop make a pie. The man likes to have control. And the pizza's great, so who's to blame him?In the last year or so he's finally allowed his children to step in and make some pies. He's expanded to Williamsburg. Di Fara is on Uber Eats! Who could've imagined a world in which you could order Di Fara on an app?In the pre-Uber Eats days part of the experience of going to Di Fara was to wait several hours in line and watch Dom painstakingly pick individual basil from a windowsill flower box and cut the leaves over the pie with a pair of scissors. He took his time. When he grew tired, he'd sit down and no pies were made in the interim. When he got sick, he closed the pizzeria. Dom is not exactly a capitalist.The slice is one of the best in town. You can smell the freshness of the olive oil and basil. The buffalo mozzarella is thick and almost pillowy, sitting atop a layer of piquant San Marzano tomato sauce. The bread is nice and crisp at the bottom, with a pleasant hint of salt. I love salt.Though they've made it more convenient than ever to try their pies via delivery, I say it's worth the in person visit to the Midwood location. Dom has retired, but maybe if you're lucky you can catch a glimpse of a Brooklyn Legend.",7/4/2019,407,39,342,VLTBPUrbNRR-f84h-altQw
7,Dona F.,1.0,3,"I gave this pizza place 3 stars , not that the pizza isn't good- it's very good- but no justification for $5 a slice.  I used to come here when it was $3 and I thought it was a lot then. Dominick is the owner and reminds me of Dom D'Louise when he walked with baby steps in his skit with Carol Burnet. He makes one pie at a time painstakingly slow. He grows basil on the window sill and cuts from there for the pies which is a nice touch. The wait is out the door. Sorry but when I crave pizza I need it NOW not in an hour!! Place is dirty.  Update - board of health has closed them 3 days ago for evidence of live mice. This is the second or third time.",5/20/2019Updated review,31,247,770,rMgKJHpA0kyU8fUk-Ef0NQ
8,Amanda D.,1.0,5,"Prepare yourself - either you will have to wait up to an hour for freshly baked pizza or it'll be so packed you won't even get the chance to wait and will have to come back again on another day. If you do get the chance to wait, it's well worth the wait. Yes, you will see an 80 year old Italian man making your pizza at his own pace. Don't rush him, please. It does take about 30 minutes for him to make each pie, so be prepared to wait.Once out of the oven, it has got to be the best NYC pizza I've ever had in my life. I'm not sure if it's the fact the old man is still making the pizza with love or just the ingredients are all so fresh. We ordered the DiFara classic, which comes with sausages, peepers, and onions. The pie was a masterpiece. The crust was thin, without it being too thin. The pie had the perfect amount of cheese and sauce. Basil was garnished on top, and was the highlight of the pie, in my opinion.If you have the time to wait, I would suggest you do so.",4/26/2019Previous review,383,304,95,my2T74Ifjz0eR_RE1Neb4A
9,Marco M.,1.0,5,Excellent slice. Only cheese was available because of a party. The first slice we shared was very good. We went back for another and it was even better. More well done and crispy. Comes with a bit of grated Parmesan and basil. Third stop on our pizza crawl - best sauce so far - assertive and spicy. Yum.,3/2/2019,238,1149,2592,_eJ9pXiPKoObEWpI2MmlqA
10,Glenn R.,1.0,5,"This was on my Pizza bucket list.....yes there's a pizza bucket list Google it Barbara!!!!!   Took the Q train from Manhattan to Brooklyn and this place is at the corner across from the station.  A pizza experience like no other.  If you want artichoke, duck, or pine nuts on your pizza forgetaboutit!!!!!  This is a classic pizzeria hot a little grease to keep the clots out of your heart and hot!!! WOW was it hot!  Its a very small place I heard on the weekends the wait is 2 hours I went on a Tuesday so 20 minutes!  I strutted up tp the counter and girded my pizza loins for battle.  I ordered a Margarita pie and 20 minutes later the Pizza Gods descended upon me with a thin, lightly sauced, cheesy fresh pizza pie with fresh basil on it.  As hard as I tried I made it thru half of this culinary delight.Left it behind?  NO WAY!!!!!! You never leave Pizza that good behind.  I boxed it up carefully, very carefully carried the box of wonderful to the Q train got on ride the half an hour to Manhattan and my hotel room took said Pizza to my room and ate it for breakfast and lunch!  Had I not had reservations at other restaurants the rest of the week I'd of moved my hotel room to their restaurant!  BOOM goes the dynamite said my taste buds!To Recap Di Fara is all that it is touted to be and more, so go forth and get you sum!!!!!",6/10/2019,1200,170,26,S7jEEZVw3EJ6Guo3IiKCUA
11,Nikaury B.,0.0,4,Amazing pizza! The only reason I am not rating it a 5 star is because each slice is a bit inconsistent with the sauce. The basil on the slices are a huge hit!,5/6/2019,6,9,20,tNyfgupe8R4iT1waAkSq9Q
12,Ariel R.,0.0,1,"KITCHEN NIGHTMARE. Worst restaurant experience and very disappointing pizza. I don't usually write reviews but this was so bad that I have to say something. I came for the first time on a Sunday evening at 6:15 pm with my in-laws who are in town. We ordered a regular pie with pepperoni from the two guys working the ovens. These guys were really nice, and very busy. We ended up waiting for 2.5 hours for this pizza while being strung along that it would be out soon. Only one of their four ovens still works so they can only make a few pizza's at a time. At about 8 PM the daughter started working the front. She was clearly drunk and was fighting with the two guys making the pizzas. They would yell then go to the back and yell some more all in front of us customers. She eventually kicked out the one guy who had a handle on what was actually going on. After this people started to get annoyed because we had all been waiting 2+ hours. The woman working was now getting into yelling matches with customers who were simply asking about their orders. After 2.5 hours I was able to find my order which she had mistakenly put under a different name. While trying to pay for my pizza the woman got so angry (for no logical reason) that she kicked us all out of the store. I was NOT going to leave my pizza so I grabbed it, and the one remaining guy working said to just give him $20 because he was clearly embarrassed about the woman's illogical rant and behavior. Fortunately I was able to escape with the pie right as the pinnacle of the melt-down happened. We were all in shock about what was going on and how the woman was treating her employees and the customers. The worst part was that after all that wait the pizza ended up being marginal at best. The pizza had been over cooked and ended up sitting out for a bit while the woman went on her rant. The center of the pie was very soggy and the crust was hard and stale. You couldn't fold the pizza to eat it because the crust was so hard. I would never ever go back to this place again nor can I understand why it was so busy to begin with. Clearly this place used to make good food but those days are long gone. Everyone else that waited with us had the same feedback. Amazingly terrible experience.",7/7/2019,0,2,0,ScUogWwU3xoW8PRDNOAhSg
13,Raymond M.,0.0,5,"Wow! We went to 5 different pizza places ( di Fara, artichoke, John's bleecker st, sauce, prince st ) while in New York last fall and this is the best NY slice in the city. Barstool didn't disappoint. I see you pres! Get the chili oil thingy on the counter. Thank me later. We tried the regular slice and the Sicilian slice. Both were very good. Solid 10!",7/15/2019,0,61,42,y9k-uJRbBfWYTJ0da1_M6g
14,Eric L.,0.0,1,"Di Fara went to being my favorite pizza spot, to my least favorite overnight. I ordered a pizza pie but instead received a whole burnt nasty pie with the center missing and paper thin slices. In addition the box had a written apology, for the huge hole in the pie with an extra slice on the side. In my opinion this was not only rude, but also unprofessional. The right thing to do, would've been making a new pie the proper way to satisfy your customer. Di Fara you guys lost a loyal customer, for not caring about the quality of your pizzas.",7/2/2019,165,10,6,2p8jXl4oClPfgcX09R92KQ
