,camis,inspection_date,dba,score_y,street
0,50059594,2019-09-06,PICCOLA CUCINA,9.0,THOMPSON ST
1,40388419,2019-09-06,FAMOUS FAMIGLIA PIZZERIA,5.0,BROADWAY
2,40567158,2019-09-06,CAFFE NAPOLI,75.0,HESTER STREET
3,50083171,2019-09-05,AUNT JAKE'S,28.0,MULBERRY ST
4,50061111,2019-09-05,PIZZA STOP,9.0,FREDERICK DOUGLASS BLVD
5,50045409,2019-09-05,RIOSSI PIZZA,2.0,BROADWAY
6,50089280,2019-09-05,DOMINOS PIZZA,2.0,STANTON ST
7,40398586,2019-09-05,JOSEPH'S RISTORANTE,55.0,HANOVER SQUARE
8,40393591,2019-09-05,DON GIOVANNI RESTAURANT,17.0,10 AVENUE
9,50013172,2019-09-05,RIVERDALE PIE GUYS,12.0,MOSHOLU AVENUE
10,50078216,2019-09-05,FAMILY PIZZA,49.0,FLATBUSH AVE
12,41570817,2019-09-05,PATZERIA FAMILY & FRIENDS,7.0,WEST   48 STREET
14,40542345,2019-09-05,TOWNE DELI & PIZZA,9.0,ARTHUR KILL ROAD
15,41385659,2019-09-05,TONY & TINA'S PIZZA,19.0,ARTHUR AVENUE
16,50052920,2019-09-05,ROYAL PIZZERIA,2.0,MYRTLE AVE
17,50094533,2019-09-05,AMICI RISTORANTE,11.0,MULBERRY ST
18,50078195,2019-09-05,99 CENTS FRESH & HOT PIZZA,12.0,BROADWAY
19,50096160,2019-09-05,LA VERA PIZZA,18.0,BROADWAY
21,40872794,2019-09-05,DA FRANCESCO,39.0,GRAHAM AVENUE
22,41177892,2019-09-04,LAKE COMO PIZZA,36.0,AMSTERDAM AVENUE
23,41650772,2019-09-04,MARINARA PIZZA,30.0,LEXINGTON AVENUE
24,50049300,2019-09-04,ABITINO'S PIZZA,41.0,10TH AVE
25,50043804,2019-09-04,DEE & L'S PIZZA PLUS,17.0,ROCKAWAY BLVD
26,50041320,2019-09-04,A & L PIZZA RESTAURANT,5.0,18TH AVE
27,50036444,2019-09-04,ARTURO'S PIZZA,16.0,YORK AVE
