,user_name,user_elite,stars,review,user_date,user_friends,user_reviews,user_photos,user_url
0,Travis H.,1,5,"Not the biggest pizza fan at all but i can appreciate a good slice and a historical restaurant.My wife's half brother took me for a ride to his neighborhood in Brooklyn and we ended up in Bensonhurst! We pull up to this 80 year old pizza joint that is jumping and i mean literally jumping! There were so many people here i thought they were giving the food away for free. There were about two long lines outside for takeout and two windows to speed things up but man all this chaos for pizza? It must he damn good because i can count clearly over one hundred people just eating outside on the patio  we finally get to the window and my bruh orders a entire pie while I'm looking inside the kitchen and it's a sight to be seen. Pizza ovens EVERYWHERE buys covered in flour guys speaking with their hands as Italians do lol and I'm just amazed at this experience. We get the pizza and find a spot in the crowded patio, Frank opens the box and BAM!! This pizza is definitely looking different lol the sauce is on top of the cheese and it's a square not a circle. Oh well i dig in and man this was very dope the pizza was light and fluffy the crust was delicious and all i could think is my wife is going to be jealous when she hears about this spot!While we're feeding our faces Frank gives me a deep history lesson on this place which allegedly has mob ties. There were some disputes over the original recipe and a couple heads had to roll in the end smh crazy things i won't mention in this review so when you see me in person I'll fill you in Great spot for pregame great spot to meet up with the family and enjoy this historical gem in Brooklyn.",7/23/2019,301,280,431,fFWYi59ABi4Zjitm5XxW7g
1,Eric R.,0,5,"Don't tell anyone in Queens, but L&B is my favorite pizza place in New York.I've never actually had their spumoni which is ironic, but their pizza is incredible. Old school feel, old school location, and great service. It's not your typical slice, but once you have a taste you'll be dying to go back",7/22/2019,0,3,0,-1El6T50HEAfPr7xwbVPgQ
2,Karl C.,0,5,this place rocks the boat. came here with a group of 6.got the famous Sicilian pie A++ best i ever hadseafood salad b+chicken parm hero Aservice Bprice / value A+calamari Adesserts Aoverall great restaurant for family gatherings,7/21/2019,247,30,3,-P4JrMlT-NDbPX4vxWia4w
3,Kevin K.,1,3,"There are a few memories of me growing up as a New York City boy - one of them involves coming home from school to an empty house (mom is working overtime at the local sweatshops and dad is slaving away at the local Cantonese seafood restaurant 6 days a week), and microwaving myself a mediocre after-school snack...usually Ellio's frozen bread pizza.  The joy of munching on that while doing homework, and faced with the constant threat of being publicly shamed at extended family gatherings for doing badly in school and being beaten to within an inch of my life with the bamboo feather duster (oddly enough never used for its intended purpose of dusting) if the schoolwork is not done.  Well, let's just say it left a few marks on my psyche - my grades were decent until I get to high school,  I scoff at the value of corporal punishment, and I hate bread pizza to this day.Why bring up Ellio's microwavable frozen pizzas?  Ellio's pizza is a ""thing"" if you grew up in NYC metro, much like the student transit passes (with holographic prints) or Mexican dudes selling gum for a quarter or 50 cents on the 4 train.  They are bread pizzas sold at the frozen aisles, 3 planks of bread topped with industrial red tomato goo, and something that is in theory cheese-like, but found in minute amounts that peels off thinly.  Sure it looks like pizza, but it's a vastly inferior facsimile that our parents bought to save money and brain cells.  And the Sicilian grandma slice at L&B?  It feels like what happened if the Ellio's frozen bread pizza grew up.  The crust is bread-like with yeasty notes.  The sauce have some tartness and fresh tomato flavor notes, but it doesn't seem to work with the bread-y crust.  The cheese?  Barely there, and it's not your usual fold-up with the orange oil dripping down your chin.  Decent, but reminds me of Chicago style deep dish, and I am not a fan of that style.  I need to finish up Mr. Greenberg's math problems before my mom shows up at 6p...and then I realize my wife needs a top-up on her drink.  Involuntary memory recall is a crazy thing.  The grandma slice was but a small part of the meal.  The seafood salad was...decent.  Not superb, not mediocre.  Good amount of calamari, shrimps and mussels, dressed with red peppers and greens throughput.  The raviolis were...okay.  The meatballs (two) were inexplicably large, but oddly devoid of texture or flavor - nothing extra remarkable as it's your Sunday gravy dinner situation here.  If it's your homeboy Vinnie's house and you are an invited guest of his family, you compliment the cooking and drink to Nonna's health, but when you are in a restaurant, you can only scoff slightly - the food is solid but nothing to rant about, the service is slightly surly but adequate/acceptable.  The interior is your usual Italian American red sauce joint - think Bucca Di Beppo but toned back a tad.  I think it's just fine.  Of course, the question is...how is their namesake frozen desserts?  It's probably the only good reason to come in.  The Vanilla Cremolata is probably the best of the flavors.  The pastachio is decent.  The chocolate was okay.  If you are habitually indecisive you can have all 3 in the rainbow.  If you are walking down the streets of Bensonhurst on a 90 degree day nothing else will hit the spot.  Just do me a favor?  Stay away from their Italian ices.  Their lemon ice is terrible.  Not sweet, not tart and not much lemon flavors - as a Queens boy from Corona I grew up on Benfaremos, which is one of the best in the city.  Just stick to their namesake Spumonis.  Eh, I don't regret coming in for Raviolis and Spumoni, but yeah, don't be too enticed by the hype surrounding their pies.  If you are a New Yorker you know where to go for a cheap slice of foldables already.",7/18/2019,83,274,3074,EXkM65SRwSYFe8eEjH8KPw
4,Elizabeth D.,1,4,"Love this spot. It's a classic in Brooklyn serving some really good pizza. The thing is, I'm not a fan of Sicilian slices. I'm 100% a thin crust kinda girl. I got the whole pie to go ($24) but managed to scarf down a slice on the drive home and it tasted just like a regular Sicilian slice. The next day I heated up the left overs in the oven, and I immediately wished I bought another pie because it was delicious. I absolutely loved it the day after and I'm not sure why. Before I left, I also tried a large Spumoni ice cream ($3.75) which was pistachio, vanilla and chocolate ice cream swirled all together. It was soooooo good. You could actually taste bits and pieces of pistachios in it, so it was so good! I'd definitely come back here for sure just for the ice cream! There is ample parking because of the adjacent parking lot (which was so nice that I didn't have to find parking!) also they accept credit card. Oh and also, there's tons of indoor and outdoor covered seating and I was able to bring my little dog to enjoy the sunshine too!",6/19/2019,214,285,445,FmUYpn0t7E0nCG3tD0NnBA
5,Mary S.,1,4,"We got a slice of the round pie and a 1/2 square pie plus a side of meatballs. I preferred the round slice while my husband preferred the Sicilian slice. 4 stars are because this is an institution and a Brooklyn staple but I've had better Sicilian pizza elsewhere. The round pie was pretty good and the prices are very fair. I use the meatballs as a litmus test for any Italian/pizza place I go to and these were far above average. You could tell they used a meat blend and it was not at all too bread-y. I really enjoyed visiting this place, it truly is a must-go if you're in the area because of the history. My grandmother makes her pIzza like that, the old school way. One interesting fact is that they use cheese slices as opposed to grated cheese. Final verdict is I would come again for the meatballs and round pie but I'll get my Sicilian elsewhere. Also the Spumoni ice cream was really more of milky Italian ice, which I didn't care for.",6/24/2019,6,63,46,LBqp_81fVP4tyll7TTPP0w
6,Roscoe C.,0,3,"Not really a fan. Pricey for just a regular plain pizza + $$ for a few sprinkles of sausageThe dough was raised to perfection and baked to the perfect level of crispiness on the edges, although it was so thick, you can pretty much be full with just 2 square slices. There's a reason the pics for the pizza is looks like its all crust and really red.80% dough, 20% sauce, a light sprinkle of cheese.",7/20/2019,145,13,16,zTrabBFoxrEudlXlRov0jA
7,Ryan R.,1,5,"What more is there to say?Went here after a long bike ride out to the area and ordered a square slice and a small spumoni ice cream.The square slice was excellent--definitely one of the best pieces of pizza I have had in New York--and pretty cheap at $3.The spumoni was also great and was also quite large for the price.Overall, this place has been around for a long time--and for good reason--definitely worth checking out if you find yourself anywhere near the area.",6/16/2019,758,1894,273,rLCbMQmIuWnlI-IhIj51kQ
8,Jeff K.,1,5,"I was in the area and I remember seeing this place on Yelp and I was impressed with the sheer number of reviews. I figured I had to give it a try.I ordered three slices of Sicilian. I was so curious about what ""the best Sicilian slice I've ever had,"" would taste like. Luckily I got three slices from a pie that had just came out of the oven. As I started in on the first slice, I tasted a mild and smooth flavor. I didn't want to put anything on these slices, at first. (I usually throw a bit of garlic salt on my pizzas) After a few bites, I tasted a mild fresh tomato flavor and a subtle cheese. The slice was very good. I'm not so much a Sicilian pizza person, so I can't really say that this is the best slice of Sicilian pizza, but I can say that this was one of the best slices of Sicilian pizza I've ever had.",5/31/2019,570,297,1430,0ZRTwd5xyGwo4cW1vgQJNg
9,Syd R.,1,5,"The best of the best. Literally you can't go wrong with anything on the menu. Its worth the trek to deep Brooklyn from NYC. Expect a wait and crowd most of the time. There's an option to order at the counter and sit outside at the outdoor tables or sit in their dining room for the full menu experience. All of their pasta & seafood dishes look unreal whenever we see a waiter bringing something to someone's table. But, what you absolutely must get, is their famous Sicilian pie. It is SO.GOOD. We always order a pie and bring the rest home. Last visit, we also got the baked clams (amazing, some of the best I've had in a while) and house salad (simple but so good... their dressing is great). Their spumoni ice cream is super refreshing and a must each time IMO!Our waiter, Matt C, was super nice and friendly and made great suggestions. Nothing better than great staff!",6/19/2019,293,106,337,SziKmSU5nW1TYnQE1s-zGA
