,user_name,user_elite,stars,review,user_date,user_friends,user_reviews,user_photos,user_url
0,Heather C.,1,4,"Everything you have ever read or heard about New York pizza is embodied in Lombardi's.  Not only is it touted as the oldest pizzeria in the US but you walk in an immediately feel authentically as if you've finally visited New York when you step inside.  The pizza is amazing!   The breadsticks-Do not  waste your money - unless you want plain bread. They don't have any garlic flavor.  Even our server suggested against it, but we tried them anyway.  We shared a pizza and ate the entire thing.Note: they only accept cash They have an ATM insideNo free refills.   Other than this- I would add this to a top 20 must visit while in NYC list.",7/18/2019,107,71,70,INkugCoxdYBHWrGZ4HBrZQ
1,Anuksha S.,0,3,"Big tourist spot - i liked the ricotta on the white pizza and overall good margherita. The crust is more well done  and crispy than a lot of other places in the city. Lombardi's is pricey, the man seating us was extremely rude, and the service was subpar. Will not be back. There is better pizza in new york and way better service.",7/18/2019,299,22,46,Xu51GJPtJSY3c46LBLYn0A
2,Gabe G.,0,4,"Came here because of the name, really that's all they have going for them. Service was excellent, can't really complain. My only problem was the food. We always hear Lombardi's this Lombardi's that.. but I've had way better pizza. Don't get me wrong it's not bad food, but it really did not live to the hype. Also it's cash only which isn't the best. It's a very casual fast place, you can definitely grab a quick bite to eat.Final grades:Service-AFood- B-",7/9/2019,234,17,36,qwjaep-Xg7N1IaPWszbeeQ
3,Leo M.,0,5,"Cash only! Great pizza place with a part of history!  Everybody is very attentive and respectful! Despite the price the pizza is worth it! Will come here again every Time I'm in New York! This is the meaning of, you get what you pay for! QUALITY and taste!",7/21/2019,3,8,56,6KoR2stINbjtUirJWG7l5g
4,Addy G.,1,5,"For a long time I've always wanted to experience an authentic, New York pizza. My taste buds were yearning for it, and every time I go to the city I never choose wisely. I'll get some $.99 slice of pizza that is mostly grease. I hear that most of the great pizza places are in Brooklyn which I rarely ever stay in. I was so excited when my colleague, who lived in New York for over a decade recommended we go over to Lombardi's's in Soho. We were staying in Tribeca so we were able to walk right over. We didn't have a reservation, but we were able to be seated right away. We met her friend there so the three of us ordered one round of Aperol/Campari spritz' followed by a round of martinis. Paul was our server and he was absolutely wonderful. Great service. We ordered a Caesar salad and a house salad first, then a ricotta/pesto small pizza and a large margherita pizza. That seemed to be a little bit more than we needed. We probably could've gotten two small pizzas. The salads were yummy and our pizzas were delicious. Always a fan of margherita pizzas, I was surprised at how much I actually loved the ricotta and pesto pie. It was absolutely delicious. If I return to Lombardi's, which I hope I do, I am definitely going to get that one. Everything was absolutely mouthwatering. The place was busy, and has a very cool authentic/Italian vibe with the checkered tablecloth, the fresh scent of pizza swirling through the entire restaurant, and an amazing location in downtown Soho amongst all of the fun boutiques and shops. The prices are extremely reasonable, but bring your cash! This place is cash only. There is an ATM that charges $3.75, in case you're in a pinch. When you go to the back of the restaurant The kitchen is open so you can see the pizza is being made, hot and sweaty as you would imagine a pizza kitchen in the middle of a hot summer day to be. Overall, this experience was great. My colleague, being a former New Yorker definitely knew the right direction to steer me to for my first ever, real New York pizza experience. I have not, one bad thing to say about this place. That is why it has totally earned a rare, yet well-deserved, five star rating!",7/22/2019,1175,729,3764,hA2X9akTxboda17YqbF20g
5,Johanna B.,1,3,"When the moon hits your eye like a big pizza pie, that's amore. Well maybe Dean Martin loved Lombardi's but I was disappointed with my first time experience.As a native New Yorker, I've always heard people brag about it. I had kept it on my bucket list since I love pizza and wanted to experience it for myself. Well, tonight I had the opportunity to do so.The pizzeria sits on the corner of Spring Street and once you step inside, it is quaint and nostalgic with red and white checker plastic tablecloths and a rustic atmosphere. Space was wrapped around into two rooms with a good number of tables. We just walked right in and were seated immediately.Service was good. Appetizers were available but since we were eager to try the pizza, we jumped straight to it. In total, there might have been six varieties of pizza,  but we selected the classic margarita.Red wine accompanied our meal and it was pretty good.The pizza was large (we were told enough for 2) with 8 slices in total. There was also the option of a personal size. Minutes later, pizza arrived. Looked good and smelled fragrant but overall it fell short of my expectations.For one thing, it was super thin and crunchy (meaning not much bend to the pizza at all). The sauce and cheese were both a very thin (kind of dry) layer. No olive oil taste or evidence of it in sight.In addition, the pizza wasn't piping hot when served as I like it.  By the time I got to the 2nd or 3rd slice, it was room temperature (and harder to bite into).Finally, it might have been a large pizza but it was so thin with the topping of cheese and sauce being skimpy that I still felt hungry after eating the 4 slices.Overall, I consider my dining experience as ""been there, done that"". A let down.BTW, cash only.",5/23/2019,507,595,1759,ErEf2Xr-1qF1JAB-u9lwjg
6,Trixie N.,1,5,"Since 1905 Lombardi Pizza has been serving coal oven thin crust pizza. They are also known as the founders of what is known today as New York style American Pizza. I love older established restaurants and this is one I definitely love! I came here to meet with a friend and we had the Old School Margarita Pizza. It was a simple pizza but the taste was so spot-on what Old School pizza should taste like. The crust was thin, a bit crunchy and a bit chewy. The simple toppings of tomato sauce and mozzarella cheese were fresh and perfect! I have always loved thin crust pizza only because I do not care for the crust. This was the perfect pizza for me! This is definitely place I would love to return to and try out their different toppings. So delicious!!",5/14/2019,1112,737,6315,quDu_Z0-i9TCYvdHRnULEw
7,Najwa G.,1,4,"Really good pizza but didn't exactly blow me out of the water. As Lombardi's claim to fame is that it is the first pizzeria in the U.S., expect it to be busy any time of the day. My friend and I went here on a Wednesday night and waited around 15-20 minutes so nothing crazy but I would expect a much longer wait during peak times. We stuck with one of their signature dishes- the clam pie.  Pros- a more than adequate number of clams, a solid crust, and enough to share among two people (not sure about three people, or maybe I just eat too much). Cons- a solid crispy crust shouldn't necessarily mean that the pizza itself should be ridiculously crispy as well. No, it was not as hard as a rock, but it definitely could have been better than what it was. Rather than that, I don't have any complaints. Definitely squeeze the lemon they give you over the pizza. Or, rather, squeeze it over each individual slice before you eat it so it doesn't get soggy quickly. Enjoy!",7/17/2019,96,182,386,o9hU7o_3Kndp882PpLDcSg
8,Dan J.,1,5,"A truly spectacular example of a true thin crust NYC pizza. Famed to be the first coal oven pizza restaurant in NYC in the 1900s, their pizza making expertise has not depreciated over the ages and the dining experience was equally as pleasant. On a sunny weekday afternoon, our party of 4 was seated almost immediately (they have a small first floor dining area as well as more basement seating), offered drinks and the menu by the efficient and friendly waitress. We decided to stick with the old school classic and ordered a large pie of Margherita and cheese pizza to share among the 4 of us, which turned out to be the perfect portion for lunch! For a freshly made pizza, it came within a very reasonable amount of time, around 10 minutes, and it passed the flip test with flying colors (if you hold a fresh pizza slice, it keeps its straight and crisp shape). Each bite into the crunchy hot slice was the perfect mixture of fresh Margherita sauce, specks of basil flavor and creamy rounds of Mozzarella cheese all on top of a crispy crust that was thin but also chewy. Usually the crust at the end of a slice does not enthuse me but I gobbled up every piece of chewy and salted crust with fervor!Hands down the best pizza pie I've ever had in NYC and it would have been such a shame if I were to leave New York without dining at this landmark restaurant. Highly recommend for any food lover out there that want a taste of new york history or simply a delicious and affordable pie!",5/11/2019,216,54,77,fmoZ3wNzVXhVMVT8ZXAUxg
9,Michelle P.,1,3,"Lombardi's is a bit overrated. With that said, set your expectations right and it will be enjoyable.Having seen lines out the door in the past, we immediately got a table on a rainy Friday night.Interested in beer at first, those dreams were squashed by a list of domestics. A bottle of Chianti for $36 did the trick.The Cake Boss pizza looked the most inspiring on the menu. Unfortunately, you can't have prosciutto and eggplant, so we went with prosciutto. There's also only one size, so we went with the large.The pizza may have had a little touch much arugula, and lost the effect when cut. When picked up, the meat, cheese, veggies and sauce coagulated perfectly and gave the most desirable result. The crust game was on point. I felt we may have overspent for a pizza and bottle of wine, but it was nice to have the table service and the cute, pizzeria atmosphere. It wasn't a life changing pizza experience, but I did enjoy myself.",4/27/2019,506,1307,8020,OLGQ7alK4VKl3YdQk6UF5g
