,sort_name,df_min,df_max,appearances,review,name,address,pro_score,sentiment
0,adriennes pizza bar,0,1,2,"Adrienne’s Pizza Bar serves large pies on Stone Street in FiDi, with outdoor and indoor areas if you’re looking for more than just a slice or two.The Stone Street main drag is littered with bars and restaurants, all of which have outdoor seating areas that bleed into one another. It’s an appealing place to hang out in the area, certainly. So which of the many restaurants should you pick? Sure, the Bavaria Beer Haus will do if you want to drink hefeweizen out of a boot, and the Mexican restaurant “Mad Dog and Beans” is an option if you want to patronize a place called “Mad Dog and Beans.” But if you actually want to eat, do it at Adrienne’s Pizza Bar. The large pies are pretty good (no slices, FYI), and the inside area is pretty nice.Pizza, Big Groups, Casual Weeknight Dinner, Late Night Eats, Standing strong amid the fratty Stone Street bars is Adrienne’s Pizzabar, an above-average pie purveyor in the Financial District. It serves up two types of pizza: New York-style round pies and Grandma-style squares, of which the latter is the standout. Adrienne’s also delivers well for workers in the area in need of a lunchtime pizza fix.",Adrienne's Pizzabar,"54 Stone St, New York, NY 10004",0.276872964169381,0.8870867548276181
1,alligator lounge,2,2,1,"Alligator Lounge is a divey sports bar in Williamsburg that gives out free pizza to everyone who buys a drink.You may know Alligator Lounge as that dive-y bar in Williamsburg that does $6 shot and beer combos and gives out free pizzas to anyone who buys a drink. While they do that, and it’s a pretty crazy deal, this is also a solid spot to watch some sports (especially NFL games on Sundays). You’ll find a pool table and some games like Connect 4 and Jenga, too, in addition to free karaoke most nights.Pizza, Big Groups, Day Drinking, Sports!, ",Alligator Lounge,,0.016286644951140017,0.8768963121703197
2,amore pizzeria,3,3,1,"If you love ample amounts of rich sauce and oily cheese set on a thin crisp crust, that's Amore. The decor of the kitchen and dining area retain the homey style of a stereotypical city pizzeria with its tight quarters, colorful juices swirling in their dispensers, and a greasy menu board lacking several letters. Tasty and consistently delicious in its simplicity, it's no wonder loyalists have been frequenting this place for decades.Cheese",Amore Pizzeria,,0.5863192182410422,0.849441264906803
3,antika,4,4,1,"This Astoria restaurant is named as an homage to Antica Port'Alba, arguably the oldest pizzeria in the world. The Old Fashioned Grandma Style Square Pie is big enough for a family—the cookie sheet-shaped pizzas are loaded with four types of high quality cheeses, savory San Marzano tomato sauce, extra virgin olive oil and oregano, then twice-baked in a gas-powered oven yielding a crust that provides a sturdy foundation for the toppings without feeling too heavy.Old Fashioned Grandma Style Square",Antika,,0.5700325732899021,0.012290998741984598
4,antonios,5,7,3,"An old newspaper article pinned beside the door proclaims Antonio’s 50th anniversary, so by now it must be much older. The Park Slope stalwart is all over the map pizza-wise, even making an approximation of deep-dish Chicago pies, and regular pies with Alfredo and vodka sauces, as if pizza were pasta. Amid the welter of pizza forms is a perfect grandma — a paradoxically square and thin slice, with the crust like a piece of delicious cardboard. Splotches of mutz and torn basil leaves powerfully scent the pie.  Sometimes, you just need a slice joint. Not a twist-on-a-slice joint, but just a slice joint. A place where you can engage in New York's greatest culinary tradition, exchanging a couple of bucks for a piece of hot pizza that you can fold in half and eat on a paper plate as you walk down the sidewalk. And Antonio's in Prospect Heights delivers on that promise -- with a slice that has a crispy crust, a healthy dose of sauce and a blanket of blistered mozzarella. Like any good neighborhood pizza place should, it also offers a selection of solid specialty slices -- from the grandma to the controversial Buffalo chicken. The Vibe: This no-frills, old school pizzeria has been serving fresh slices for over fifty years.",Antonio's Pizzeria,"32 Court St, Brooklyn, NY 11201, USA",0.9934853420195437,0.9730980944829235
5,arcade bakery,8,8,1,"New York's best croissant is now located in the back of a Tribeca office lobby. Plan accordingly.Here's what Arcade Bakery is not: the hottest new underground restaurant with a monthlong waiting list. It's in the lobby of an office building, and seating, amazingly, is even plentiful. Another thing it's not: some swanky new date spot, unless your version of a date is croissants and pizza before 4 pm on a weekday.Pizza, French, Coffee & A Light Bite, Impressing Out of Towners, Lunch, ",Arcade Bakery,,0.27361563517915294,0.5654053286951292
6,archies bar & pizza,9,11,3,"Archie’s is a pizza place in Bushwick serving simple pan pies that are exactly what you want before or after a night out.If you wanted to, you could go out tonight and get a pizza made with Italian yeast and cheese from Naples. Or you could get a square slice made from dough that was fermented for as long as it would take you to learn at least rudimentary French. And we’re glad that both of those options (in addition to many others) exist in NYC. But sometimes you just want to eat at a spot like Archie’s Bar & Pizza.Bar Food, Pizza, Casual Weeknight Dinner, Delivery, Late Night Eats, This hang-worthy Bushwick bar also serves Greek New England-style pies, a style not commonly seen across New York. It’s cooked in a pan and a little heftier and crisper than a wood-fired or New York-style pie, though the crust’s interior is still quite light. Get it by the slice or in a 10-inch or 14-inch pie. Open late.Let’s face it—pizza just tastes better after midnight. For the best pizza after dark, head to Archie’s Pizza. There, visitors can grab a slice or an entire pie until 4 a.m. But, have no fear as the pizza shop opens again at 11 a.m. for all the non-night owls out thereLate-Night Eats",Archie’s Pizza,128 Central Ave.,0.6254071661237783,0.8003944086394077
7,armandos pizza,12,12,1,"This newish Ocean Hill establishment is a branch of a long-running Canarsie pizzeria that’s been in the D’Arpa family since 1968, now being run by a third generation. Like the sign outside says, the mini-chain’s specialty is the Sicilian slice (only $2.50!), and you’ve never tasted better. The bread is thick and bouncy, but paradoxically light-textured, and the sauce in the typical Sicilian style is a little on the sweet side. In addition, there’s a strong taste of oregano, which may or may not be due to the Greek origin of many Sicilians. Other specialties include a delicious, sesame-seeded ground beef stromboli, pepperoni pinwheels, and meatball rolls.",Armando's Pizza,"1717 Broadway, Brooklyn, NY 11207",0.45602605863192175,0.8779118260384218
8,artichoke,13,15,3,"Come on people, this is completely out of control. It's Thursday night at 2:30am and there's a line forty deep for a slice of pizza? That's just stupid.Come on people, this is completely out of control. It's Thursday night at 2:30am and there's a line forty deep for a slice of pizza? That's just stupid. At the painfully slow rate at which Artichoke moves, that's at least an hour wait. By the slice, pizza is supposed to be that cheap, quick fix - but Artichoke is neither. I totally hopped on board the 'Choke bandwagon when it opened, and was pushing it on people non-stop. After all, how could I resist hyping up a hot new slice right next to my apartment? Unfortunately, there was trouble in paradise, and I soured on this place pretty fast.Pizza, Late Night Eats, People Watching, You gotta do it. If you're gonna come to this city, you need to buy a single slice of this melty, dippy masterpiece and take it straight to the face on a super cold day. You gotta do it.Artichoke opened to rave reviews in early 2008 and pizza lovers throughout the city have been flocking to their ever-expanding locations across NYC ever since. They're especially known for their signature artichoke-spinach slice, but the Sicilian option here is a close second. Although the prices are on the high side, the slices are huge enough to match.",Artichoke Basille's Pizza,"321 E 14th St, New York, NY 10003, USA",1.0260586319218237,0.4991088078415209
9,astoria hot pizza,16,16,1,"Who can resist the white slice at Astoria Hot Pizza, with its masses of ricotta and mozzarella on an un-tomatoed crust, like driven snow after a blizzard. The chicken slice is another favorite: a diced cutlet, tasting fresh from the fryer, scattered across what would otherwise be a regular cheese slice. It’s like a deconstructed chicken cutlet parm hero. This place shares space with a Middle Eastern grocery store, which allows an unusual latitude in the selection of beverages.",Astoria Hot Pizza,"32-04 30th Ave, Long Island City, NY 11102",0.45602605863192175,0.8994191236769407
